turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.5882352941176471,0.35778175313059035,1.0,0.5,3,2
2,0.9803921568627451,0.7155635062611807,0.6666666666666666,0.5,5,4
3,1.1764705882352942,0.8944543828264758,0.3333333333333333,0.2,6,5
4,1.3725490196078431,1.073345259391771,0.25,0.16666666666666666,7,6
5,1.7647058823529411,1.4311270125223614,0.4,0.25,9,8
6,1.9607843137254901,1.6100178890876566,0.2,0.125,10,9
7,2.156862745098039,1.7889087656529516,0.16666666666666666,0.1111111111111111,11,10
8,2.7450980392156863,2.3255813953488373,0.375,0.25,14,13
9,3.3333333333333335,2.862254025044723,0.3333333333333333,0.23076923076923078,17,16
10,4.313725490196078,3.7567084078711988,0.38461538461538464,0.3125,22,21
11,5.294117647058823,4.651162790697675,0.35714285714285715,0.2777777777777778,27,26
12,5.88235294117647,5.366726296958855,0.2,0.2222222222222222,30,30
13,6.2745098039215685,5.903398926654741,0.125,0.15,32,33
14,6.470588235294119,6.082289803220036,0.0625,0.047619047619047616,33,34
15,6.666666666666667,6.261180679785331,0.06666666666666667,0.047619047619047616,34,35
16,7.0588235294117645,6.618962432915922,0.11764705882352941,0.09090909090909091,36,37
17,7.647058823529412,7.155635062611807,0.16666666666666666,0.125,39,40
18,8.03921568627451,7.5134168157423975,0.125,0.08333333333333333,41,42
19,8.627450980392156,8.050089445438283,0.14285714285714285,0.11538461538461539,44,45
20,9.215686274509805,8.586762075134168,0.13636363636363635,0.1111111111111111,47,48
21,9.607843137254903,8.94454382826476,0.09523809523809523,0.07142857142857142,49,50
22,10.196078431372548,9.481216457960643,0.13636363636363635,0.1,52,53
23,10.980392156862745,10.196779964221825,0.16666666666666666,0.12903225806451613,56,57
24,11.76470588235294,10.912343470483005,0.16666666666666666,0.12903225806451613,60,61
25,12.156862745098039,11.449016100178891,0.08,0.0967741935483871,62,64
26,12.549019607843137,11.985688729874775,0.07692307692307693,0.09090909090909091,64,67
27,12.941176470588237,12.522361359570661,0.07407407407407407,0.09090909090909091,66,70
28,13.137254901960786,12.880143112701253,0.038461538461538464,0.06060606060606061,67,72
29,13.137254901960786,13.237924865831843,0.0,0.06060606060606061,67,74
30,13.333333333333334,13.416815742397137,0.03333333333333333,0.02857142857142857,68,75
31,13.725490196078432,13.953488372093023,0.07142857142857142,0.08333333333333333,70,78
32,14.117647058823529,14.490161001788909,0.06451612903225806,0.07692307692307693,72,81
33,14.50980392156863,14.847942754919499,0.06451612903225806,0.05263157894736842,74,83
34,14.705882352941178,15.026833631484795,0.03225806451612903,0.025,75,84
35,15.098039215686274,15.384615384615385,0.06060606060606061,0.05,77,86
36,15.686274509803921,15.92128801431127,0.09375,0.06976744186046512,80,89
37,16.470588235294116,16.636851520572453,0.11764705882352941,0.09090909090909091,84,93
38,17.254901960784313,17.71019677996422,0.1111111111111111,0.13043478260869565,88,99
39,18.03921568627451,18.6046511627907,0.1,0.10869565217391304,92,104
40,18.627450980392158,19.141323792486585,0.07894736842105263,0.06521739130434782,95,107
41,19.411764705882355,19.856887298747765,0.10256410256410256,0.0851063829787234,99,111
42,20.19607843137255,20.572450805008945,0.10256410256410256,0.0851063829787234,103,115
43,20.784313725490197,21.10912343470483,0.07692307692307693,0.06382978723404255,106,118
44,21.568627450980394,21.82468694096601,0.10810810810810811,0.08333333333333333,110,122
45,21.96078431372549,22.182468694096602,0.05,0.043478260869565216,112,124
46,22.54901960784314,22.898032200357783,0.07317073170731707,0.08333333333333333,115,128
47,23.137254901960784,23.43470483005367,0.08333333333333333,0.0625,118,131
48,23.72549019607843,24.15026833631485,0.07692307692307693,0.08163265306122448,121,135
49,24.313725490196077,24.686940966010734,0.075,0.0625,124,138
50,25.098039215686274,25.402504472271914,0.1,0.08695652173913043,128,142
51,25.882352941176475,26.118067978533094,0.10526315789473684,0.08695652173913043,132,146
52,26.666666666666668,26.833631484794275,0.0975609756097561,0.0851063829787234,136,150
53,27.254901960784313,27.370304114490164,0.07142857142857142,0.061224489795918366,139,153
54,28.03921568627451,28.085867620751344,0.1,0.0851063829787234,143,157
55,29.01960784313726,28.980322003577818,0.11904761904761904,0.10416666666666667,148,162
56,29.80392156862745,29.695885509838998,0.08888888888888889,0.08333333333333333,152,166
57,30.58823529411765,30.590339892665476,0.09302325581395349,0.10204081632653061,156,171
58,31.372549019607842,31.305903398926656,0.09302325581395349,0.08695652173913043,160,175
59,32.15686274509804,32.200357781753134,0.09302325581395349,0.10869565217391304,164,180
60,32.94117647058823,32.91592128801431,0.09090909090909091,0.08695652173913043,168,184
61,33.13725490196078,33.09481216457961,0.023809523809523808,0.022222222222222223,169,185
62,33.92156862745098,33.98926654740608,0.09523809523809523,0.10638297872340426,173,190
63,34.31372549019608,34.34704830053667,0.04878048780487805,0.044444444444444446,175,192
64,34.705882352941174,35.062611806797854,0.046511627906976744,0.08163265306122448,177,196
65,34.90196078431372,35.42039355992844,0.021739130434782608,0.043478260869565216,178,198
66,35.490196078431374,35.95706618962433,0.06382978723404255,0.06818181818181818,181,201
67,35.88235294117647,36.493738819320214,0.044444444444444446,0.06521739130434782,183,204
68,36.27450980392157,36.85152057245081,0.04878048780487805,0.045454545454545456,185,206
69,36.86274509803922,37.38819320214669,0.06976744186046512,0.0625,188,209
70,37.254901960784316,38.10375670840787,0.041666666666666664,0.08888888888888889,190,213
71,37.450980392156865,38.46153846153847,0.022222222222222223,0.041666666666666664,191,215
72,37.64705882352941,38.81932021466905,0.024390243902439025,0.044444444444444446,192,217
73,37.84313725490196,38.998211091234346,0.022222222222222223,0.021739130434782608,193,218
74,38.23529411764706,39.35599284436494,0.046511627906976744,0.045454545454545456,195,220
75,38.43137254901961,39.53488372093023,0.024390243902439025,0.021739130434782608,196,221
76,38.82352941176471,39.89266547406082,0.044444444444444446,0.0425531914893617,198,223
77,39.21568627450981,40.250447227191415,0.043478260869565216,0.0425531914893617,200,225
78,39.6078431372549,40.7871198568873,0.047619047619047616,0.0625,202,228
79,39.80392156862745,40.9660107334526,0.020833333333333332,0.020833333333333332,203,229
80,40.0,41.14490161001789,0.022222222222222223,0.02127659574468085,204,230
81,40.19607843137255,41.32379248658318,0.024390243902439025,0.02040816326530612,205,231
82,40.3921568627451,41.50268336314848,0.022727272727272728,0.02127659574468085,206,232
83,40.588235294117645,41.681574239713775,0.021739130434782608,0.022222222222222223,207,233
84,40.78431372549019,41.86046511627907,0.022222222222222223,0.02127659574468085,208,234
85,40.98039215686274,42.21824686940966,0.021739130434782608,0.041666666666666664,209,236
86,40.98039215686274,42.21824686940966,0.0,0.0,209,236
87,41.17647058823529,42.39713774597496,0.021739130434782608,0.02127659574468085,210,237
88,41.568627450980394,42.75491949910555,0.041666666666666664,0.04,212,239
89,41.76470588235294,42.93381037567084,0.020833333333333332,0.020833333333333332,213,240
90,41.96078431372549,43.112701252236135,0.022222222222222223,0.02127659574468085,214,241
91,42.35294117647059,43.47048300536673,0.0425531914893617,0.0425531914893617,216,243
92,42.94117647058823,44.00715563506261,0.06666666666666667,0.06521739130434782,219,246
93,43.333333333333336,44.364937388193205,0.0425531914893617,0.04081632653061224,221,248
94,43.72549019607843,44.72271914132379,0.0425531914893617,0.041666666666666664,223,250
95,44.31372549019608,45.25939177101968,0.06521739130434782,0.06521739130434782,226,253
96,44.70588235294118,45.61717352415027,0.0425531914893617,0.0425531914893617,228,255
97,44.70588235294118,45.61717352415027,0.0,0.0,228,255
98,45.09803921568628,45.97495527728086,0.0425531914893617,0.04,230,257
99,45.490196078431374,46.332737030411444,0.045454545454545456,0.041666666666666664,232,259
100,45.88235294117647,46.69051878354204,0.043478260869565216,0.04081632653061224,234,261
101,46.470588235294116,47.227191413237925,0.06521739130434782,0.06521739130434782,237,264
102,46.86274509803921,47.58497316636851,0.044444444444444446,0.04081632653061224,239,266
103,47.45098039215686,48.1216457960644,0.06521739130434782,0.0625,242,269
104,47.647058823529406,48.3005366726297,0.021739130434782608,0.02040816326530612,243,270
105,47.84313725490196,48.479427549194995,0.022727272727272728,0.022222222222222223,244,271
106,48.23529411764706,48.837209302325576,0.043478260869565216,0.0425531914893617,246,273
107,48.431372549019606,49.01610017889087,0.021739130434782608,0.02127659574468085,247,274
108,48.627450980392155,49.19499105545617,0.022222222222222223,0.02040816326530612,248,275
109,48.8235294117647,49.37388193202147,0.02127659574468085,0.020833333333333332,249,276
110,49.01960784313725,49.55277280858677,0.023255813953488372,0.020833333333333332,250,277
111,49.6078431372549,50.089445438282645,0.0625,0.061224489795918366,253,280
112,49.80392156862745,50.268336314847936,0.020833333333333332,0.02040816326530612,254,281
113,50.19607843137255,50.62611806797853,0.044444444444444446,0.041666666666666664,256,283
114,50.3921568627451,50.80500894454383,0.02127659574468085,0.020833333333333332,257,284
115,50.78431372549019,51.162790697674424,0.045454545454545456,0.041666666666666664,259,286
116,50.98039215686274,51.52057245080501,0.02040816326530612,0.041666666666666664,260,288
117,50.98039215686274,51.52057245080501,0.0,0.0,260,288
118,51.17647058823529,51.699463327370296,0.023809523809523808,0.02127659574468085,261,289
119,51.17647058823529,51.699463327370296,0.0,0.0,261,289
120,51.17647058823529,51.878354203935594,0.0,0.021739130434782608,261,290
121,51.37254901960784,52.05724508050089,0.020833333333333332,0.020833333333333332,262,291
122,51.76470588235295,52.41502683363149,0.0425531914893617,0.04081632653061224,264,293
123,52.156862745098046,52.772808586762075,0.0425531914893617,0.041666666666666664,266,295
124,52.54901960784314,53.13059033989267,0.041666666666666664,0.041666666666666664,268,297
125,52.94117647058824,53.48837209302325,0.043478260869565216,0.0425531914893617,270,299
126,53.333333333333336,53.84615384615385,0.043478260869565216,0.041666666666666664,272,301
127,53.72549019607843,54.203935599284435,0.043478260869565216,0.0425531914893617,274,303
128,54.11764705882353,54.56171735241503,0.043478260869565216,0.041666666666666664,276,305
129,54.509803921568626,54.91949910554562,0.04081632653061224,0.044444444444444446,278,307
130,54.90196078431373,55.27728085867621,0.0425531914893617,0.04081632653061224,280,309
131,55.09803921568628,55.635062611806795,0.021739130434782608,0.0425531914893617,281,311
132,55.294117647058826,55.81395348837209,0.020833333333333332,0.02040816326530612,282,312
133,55.68627450980392,56.17173524150269,0.043478260869565216,0.044444444444444446,284,314
134,56.07843137254902,56.529516994633276,0.0425531914893617,0.04081632653061224,286,316
135,56.27450980392157,56.88729874776386,0.020833333333333332,0.041666666666666664,287,318
136,56.470588235294116,57.066189624329155,0.02040816326530612,0.02127659574468085,288,319
137,56.470588235294116,57.24508050089445,0.0,0.02040816326530612,288,320
138,56.470588235294116,57.24508050089445,0.0,0.0,288,320
139,56.86274509803921,57.60286225402504,0.0425531914893617,0.043478260869565216,290,322
140,56.86274509803921,57.60286225402504,0.0,0.0,290,322
141,57.05882352941176,57.78175313059034,0.022222222222222223,0.02040816326530612,291,323
142,57.25490196078431,57.960644007155636,0.022727272727272728,0.021739130434782608,292,324
143,57.45098039215686,58.139534883720934,0.022222222222222223,0.02040816326530612,293,325
144,57.647058823529406,58.31842576028623,0.020833333333333332,0.020833333333333332,294,326
145,57.84313725490197,58.497316636851515,0.022222222222222223,0.02040816326530612,295,327
146,58.235294117647065,58.85509838998211,0.045454545454545456,0.04,297,329
147,58.62745098039216,59.2128801431127,0.0425531914893617,0.043478260869565216,299,331
148,59.01960784313726,59.570661896243294,0.047619047619047616,0.04081632653061224,301,333
149,59.21568627450981,59.74955277280859,0.020833333333333332,0.02040816326530612,302,334
150,59.411764705882355,59.92844364937389,0.02127659574468085,0.020833333333333332,303,335
151,59.80392156862745,60.28622540250447,0.0425531914893617,0.041666666666666664,305,337
152,60.19607843137255,60.64400715563506,0.041666666666666664,0.04081632653061224,307,339
153,60.588235294117645,61.001788908765654,0.041666666666666664,0.041666666666666664,309,341
154,60.98039215686275,61.35957066189624,0.041666666666666664,0.041666666666666664,311,343
155,61.372549019607845,61.71735241502684,0.041666666666666664,0.04081632653061224,313,345
156,61.568627450980394,62.07513416815742,0.022222222222222223,0.04081632653061224,314,347
157,61.76470588235294,62.25402504472272,0.020833333333333332,0.02040816326530612,315,348
158,61.96078431372549,62.432915921288014,0.02040816326530612,0.020833333333333332,316,349
159,62.15686274509804,62.7906976744186,0.023255813953488372,0.0425531914893617,317,351
160,62.35294117647059,62.9695885509839,0.02,0.02040816326530612,318,352
161,62.549019607843135,63.1484794275492,0.02127659574468085,0.02127659574468085,319,353
162,62.745098039215684,63.50626118067979,0.02127659574468085,0.041666666666666664,320,355
163,62.94117647058823,63.68515205724508,0.021739130434782608,0.02040816326530612,321,356
164,62.94117647058823,63.864042933810374,0.0,0.02040816326530612,321,357
165,62.94117647058823,63.864042933810374,0.0,0.0,321,357
166,63.13725490196078,64.04293381037567,0.022222222222222223,0.02127659574468085,322,358
167,63.13725490196078,64.04293381037567,0.0,0.0,322,358
168,63.13725490196078,64.04293381037567,0.0,0.0,322,358
169,63.13725490196078,64.04293381037567,0.0,0.0,322,358
170,63.13725490196078,64.04293381037567,0.0,0.0,322,358
171,63.33333333333333,64.40071556350627,0.021739130434782608,0.041666666666666664,323,360
172,63.52941176470588,64.57960644007156,0.022222222222222223,0.02040816326530612,324,361
173,63.52941176470588,64.57960644007156,0.0,0.0,324,361
174,63.725490196078425,64.75849731663685,0.020833333333333332,0.02127659574468085,325,362
175,63.725490196078425,64.75849731663685,0.0,0.0,325,362
