turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,3.0927835051546393,1.680672268907563,1.0,0.5,3,2
2,6.185567010309279,4.201680672268908,0.75,0.6,6,5
3,8.24742268041237,6.722689075630252,0.5,0.375,8,8
4,10.309278350515463,9.243697478991598,0.3333333333333333,0.3,10,11
5,11.34020618556701,10.084033613445378,0.2,0.08333333333333333,11,12
6,12.371134020618557,10.92436974789916,0.14285714285714285,0.08333333333333333,12,13
7,13.402061855670103,11.76470588235294,0.16666666666666666,0.07692307692307693,13,14
8,15.463917525773196,13.445378151260504,0.2222222222222222,0.14285714285714285,15,16
9,17.525773195876287,15.126050420168067,0.25,0.13333333333333333,17,18
10,18.556701030927837,16.80672268907563,0.1,0.125,18,20
11,19.587628865979383,17.647058823529413,0.1111111111111111,0.058823529411764705,19,21
12,21.649484536082475,19.327731092436977,0.16666666666666666,0.10526315789473684,21,23
13,23.711340206185564,21.008403361344538,0.18181818181818182,0.10526315789473684,23,25
14,25.773195876288657,22.689075630252102,0.14285714285714285,0.09523809523809523,25,27
15,26.804123711340207,23.52941176470588,0.08333333333333333,0.047619047619047616,26,28
16,27.835051546391753,24.369747899159663,0.06666666666666667,0.043478260869565216,27,29
17,28.865979381443296,25.210084033613445,0.07692307692307693,0.043478260869565216,28,30
18,29.896907216494846,26.05042016806723,0.0625,0.04,29,31
19,30.927835051546392,26.89075630252101,0.07142857142857142,0.04,30,32
20,31.958762886597935,27.73109243697479,0.058823529411764705,0.037037037037037035,31,33
21,32.98969072164948,28.57142857142857,0.06666666666666667,0.037037037037037035,32,34
22,34.02061855670103,29.411764705882355,0.05555555555555555,0.03571428571428571,33,35
23,35.051546391752574,30.252100840336134,0.0625,0.034482758620689655,34,36
24,36.08247422680412,31.092436974789916,0.05263157894736842,0.034482758620689655,35,37
25,37.11340206185567,31.932773109243694,0.058823529411764705,0.03333333333333333,36,38
26,37.11340206185567,32.773109243697476,0.0,0.03333333333333333,36,39
27,37.11340206185567,32.773109243697476,0.0,0.0,36,39
28,37.11340206185567,32.773109243697476,0.0,0.0,36,39
29,37.11340206185567,32.773109243697476,0.0,0.0,36,39
30,37.11340206185567,32.773109243697476,0.0,0.0,36,39
31,37.11340206185567,32.773109243697476,0.0,0.0,36,39
32,38.144329896907216,33.61344537815126,0.058823529411764705,0.03125,37,40
33,40.20618556701031,35.294117647058826,0.11764705882352941,0.06060606060606061,39,42
34,42.2680412371134,36.97478991596639,0.1,0.06060606060606061,41,44
35,43.29896907216495,38.655462184873954,0.05555555555555555,0.058823529411764705,42,46
36,44.329896907216494,40.33613445378151,0.05,0.058823529411764705,43,48
37,46.391752577319586,42.016806722689076,0.10526315789473684,0.05714285714285714,45,50
38,47.42268041237113,43.69747899159664,0.047619047619047616,0.05714285714285714,46,52
39,49.48453608247423,45.378151260504204,0.10526315789473684,0.05555555555555555,48,54
40,53.608247422680414,48.739495798319325,0.17391304347826086,0.1111111111111111,52,58
41,56.70103092783505,52.10084033613446,0.15789473684210525,0.10810810810810811,55,62
42,57.73195876288659,54.621848739495796,0.045454545454545456,0.08108108108108109,56,65
43,59.79381443298969,56.30252100840336,0.08695652173913043,0.05555555555555555,58,67
44,60.824742268041234,57.14285714285714,0.043478260869565216,0.02702702702702703,59,68
45,61.855670103092784,57.98319327731093,0.047619047619047616,0.02564102564102564,60,69
46,62.88659793814433,58.82352941176471,0.043478260869565216,0.02564102564102564,61,70
47,63.91752577319587,59.66386554621849,0.043478260869565216,0.02564102564102564,62,71
48,63.91752577319587,59.66386554621849,0.0,0.0,62,71
49,64.94845360824742,60.50420168067227,0.041666666666666664,0.025,63,72
50,64.94845360824742,61.34453781512605,0.0,0.024390243902439025,63,73
51,64.94845360824742,61.34453781512605,0.0,0.0,63,73
52,64.94845360824742,62.18487394957983,0.0,0.024390243902439025,63,74
53,65.97938144329896,63.02521008403361,0.04,0.023809523809523808,64,75
54,68.04123711340206,64.70588235294117,0.07692307692307693,0.047619047619047616,66,77
55,69.0721649484536,65.54621848739495,0.041666666666666664,0.023255813953488372,67,78
56,71.1340206185567,67.22689075630252,0.07407407407407407,0.045454545454545456,69,80
57,71.1340206185567,68.0672268907563,0.0,0.022727272727272728,69,81
58,72.16494845360825,68.90756302521008,0.03571428571428571,0.022222222222222223,70,82
59,73.19587628865979,69.74789915966386,0.04,0.022727272727272728,71,83
60,74.22680412371135,70.58823529411765,0.03333333333333333,0.023255813953488372,72,84
61,75.25773195876289,71.42857142857143,0.034482758620689655,0.021739130434782608,73,85
62,75.25773195876289,71.42857142857143,0.0,0.0,73,85
63,75.25773195876289,71.42857142857143,0.0,0.0,73,85
64,75.25773195876289,71.42857142857143,0.0,0.0,73,85
65,75.25773195876289,71.42857142857143,0.0,0.0,73,85
66,76.28865979381443,72.26890756302521,0.030303030303030304,0.021739130434782608,74,86
67,78.35051546391753,73.94957983193278,0.06896551724137931,0.043478260869565216,76,88
68,81.44329896907216,76.47058823529412,0.09090909090909091,0.06521739130434782,79,91
69,83.50515463917526,78.99159663865547,0.06896551724137931,0.06521739130434782,81,94
70,87.62886597938144,82.35294117647058,0.13333333333333333,0.0851063829787234,85,98
71,89.69072164948454,84.87394957983193,0.06666666666666667,0.06666666666666667,87,101
72,91.75257731958763,88.23529411764706,0.06666666666666667,0.08888888888888889,89,105
73,92.78350515463917,89.07563025210085,0.03571428571428571,0.021739130434782608,90,106
74,93.81443298969072,90.75630252100841,0.03125,0.043478260869565216,91,108
75,93.81443298969072,91.59663865546219,0.0,0.021739130434782608,91,109
76,93.81443298969072,91.59663865546219,0.0,0.0,91,109
77,93.81443298969072,91.59663865546219,0.0,0.0,91,109
78,94.84536082474226,92.43697478991596,0.030303030303030304,0.02127659574468085,92,110
79,96.90721649484536,94.11764705882352,0.06666666666666667,0.0425531914893617,94,112
80,98.96907216494846,95.7983193277311,0.06060606060606061,0.0425531914893617,96,114
81,98.96907216494846,95.7983193277311,0.0,0.0,96,114
82,98.96907216494846,95.7983193277311,0.0,0.0,96,114
83,98.96907216494846,97.47899159663865,0.0,0.0425531914893617,96,116
84,98.96907216494846,97.47899159663865,0.0,0.0,96,116
85,98.96907216494846,97.47899159663865,0.0,0.0,96,116
86,98.96907216494846,97.47899159663865,0.0,0.0,96,116
87,98.96907216494846,98.31932773109243,0.0,0.02127659574468085,96,117
88,98.96907216494846,98.31932773109243,0.0,0.0,96,117
89,98.96907216494846,99.15966386554622,0.0,0.022727272727272728,96,118
90,98.96907216494846,99.15966386554622,0.0,0.0,96,118
91,98.96907216494846,99.15966386554622,0.0,0.0,96,118
92,98.96907216494846,99.15966386554622,0.0,0.0,96,118
93,98.96907216494846,99.15966386554622,0.0,0.0,96,118
94,98.96907216494846,99.15966386554622,0.0,0.0,96,118
95,98.96907216494846,99.15966386554622,0.0,0.0,96,118
96,98.96907216494846,99.15966386554622,0.0,0.0,96,118
97,98.96907216494846,99.15966386554622,0.0,0.0,96,118
98,98.96907216494846,99.15966386554622,0.0,0.0,96,118
99,98.96907216494846,99.15966386554622,0.0,0.0,96,118
