turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.9803921568627451,0.7155635062611807,1.0,0.75,5,4
2,1.7647058823529411,1.4311270125223614,0.8,0.5714285714285714,9,8
3,2.549019607843137,2.146690518783542,0.5714285714285714,0.4444444444444444,13,12
4,2.941176470588235,2.862254025044723,0.25,0.36363636363636365,15,16
5,3.3333333333333335,3.2200357781753133,0.2222222222222222,0.18181818181818182,17,18
6,3.9215686274509802,3.7567084078711988,0.3,0.25,20,21
7,4.117647058823529,3.9355992844364938,0.07692307692307693,0.07142857142857142,21,22
8,4.509803921568627,4.293381037567084,0.16666666666666666,0.125,23,24
9,4.901960784313726,4.651162790697675,0.125,0.14285714285714285,25,26
10,5.294117647058823,5.008944543828265,0.125,0.125,27,28
11,5.686274509803922,5.366726296958855,0.125,0.10526315789473684,29,30
12,5.88235294117647,5.545617173524151,0.058823529411764705,0.058823529411764705,30,31
13,6.2745098039215685,5.903398926654741,0.11764705882352941,0.1111111111111111,32,33
14,6.470588235294119,6.082289803220036,0.0625,0.05,33,34
15,6.862745098039216,6.440071556350627,0.1111111111111111,0.1111111111111111,35,36
16,7.450980392156863,6.976744186046512,0.17647058823529413,0.16666666666666666,38,39
17,8.03921568627451,7.5134168157423975,0.21428571428571427,0.17647058823529413,41,42
18,8.431372549019608,7.8711985688729875,0.1111111111111111,0.1111111111111111,43,44
19,8.627450980392156,8.050089445438283,0.05263157894736842,0.05555555555555555,44,45
20,9.019607843137255,8.407871198568873,0.125,0.11764705882352941,46,47
21,9.607843137254903,8.94454382826476,0.17647058823529413,0.15,49,50
22,10.0,9.30232558139535,0.10526315789473684,0.125,51,52
23,10.588235294117647,9.838998211091235,0.15789473684210525,0.17647058823529413,54,55
24,10.784313725490197,10.196779964221825,0.05263157894736842,0.10526315789473684,55,57
25,11.372549019607844,10.73345259391771,0.16666666666666666,0.15,58,60
26,11.76470588235294,11.270125223613595,0.1111111111111111,0.15,60,63
27,11.96078431372549,11.449016100178891,0.05555555555555555,0.05,61,64
28,11.96078431372549,11.449016100178891,0.0,0.0,61,64
29,12.156862745098039,11.806797853309481,0.05555555555555555,0.1,62,66
30,12.352941176470589,11.985688729874775,0.05263157894736842,0.05555555555555555,63,67
31,12.549019607843137,12.164579606440071,0.05263157894736842,0.058823529411764705,64,68
32,12.549019607843137,12.164579606440071,0.0,0.0,64,68
33,13.137254901960786,12.701252236135957,0.16666666666666666,0.15789473684210525,67,71
34,13.137254901960786,13.059033989266547,0.0,0.10526315789473684,67,73
35,13.137254901960786,13.059033989266547,0.0,0.0,67,73
36,13.333333333333334,13.237924865831843,0.05,0.05,68,74
37,13.529411764705882,13.416815742397137,0.05,0.05263157894736842,69,75
38,13.725490196078432,13.595706618962433,0.05263157894736842,0.05263157894736842,70,76
39,13.92156862745098,13.774597495527727,0.05263157894736842,0.05,71,77
40,13.92156862745098,13.953488372093023,0.0,0.05263157894736842,71,78
41,14.117647058823529,14.132379248658319,0.05263157894736842,0.05555555555555555,72,79
42,14.313725490196077,14.311270125223613,0.05555555555555555,0.05263157894736842,73,80
43,14.50980392156863,14.490161001788909,0.05263157894736842,0.05,74,81
44,14.705882352941178,14.669051878354203,0.058823529411764705,0.05263157894736842,75,82
45,14.901960784313726,14.847942754919499,0.05263157894736842,0.05555555555555555,76,83
46,15.098039215686274,15.026833631484795,0.05555555555555555,0.058823529411764705,77,84
47,15.294117647058824,15.20572450805009,0.05263157894736842,0.05555555555555555,78,85
48,15.686274509803921,15.56350626118068,0.10526315789473684,0.1,80,87
49,16.07843137254902,15.92128801431127,0.10526315789473684,0.10526315789473684,82,89
50,16.470588235294116,16.27906976744186,0.1,0.10526315789473684,84,91
51,16.862745098039216,16.636851520572453,0.1111111111111111,0.10526315789473684,86,93
52,17.254901960784313,16.99463327370304,0.1,0.1,88,95
53,17.647058823529413,17.352415026833633,0.10526315789473684,0.1,90,97
54,18.03921568627451,17.71019677996422,0.10526315789473684,0.10526315789473684,92,99
55,18.43137254901961,18.067978533094813,0.10526315789473684,0.1111111111111111,94,101
56,18.823529411764707,18.425760286225405,0.1,0.1,96,103
57,19.411764705882355,18.962432915921287,0.15,0.15,99,106
58,19.607843137254903,19.32021466905188,0.05,0.10526315789473684,100,108
59,20.0,19.67799642218247,0.1,0.10526315789473684,102,110
60,20.588235294117645,20.214669051878353,0.15,0.15,105,113
61,21.176470588235293,20.75134168157424,0.15,0.15,108,116
62,21.372549019607842,21.10912343470483,0.05263157894736842,0.10526315789473684,109,118
63,21.764705882352942,21.46690518783542,0.10526315789473684,0.1,111,120
64,22.15686274509804,21.82468694096601,0.10526315789473684,0.10526315789473684,113,122
65,22.15686274509804,21.82468694096601,0.0,0.0,113,122
66,22.54901960784314,22.182468694096602,0.10526315789473684,0.1,115,124
67,22.941176470588236,22.54025044722719,0.1,0.1,117,126
68,23.333333333333332,23.076923076923077,0.10526315789473684,0.15,119,129
69,23.52941176470588,23.25581395348837,0.05263157894736842,0.05,120,130
70,23.72549019607843,23.43470483005367,0.05,0.05,121,131
71,24.313725490196077,23.97137745974955,0.15789473684210525,0.15789473684210525,124,134
72,24.705882352941178,24.329159212880143,0.1,0.1111111111111111,126,136
73,25.098039215686274,24.686940966010734,0.1,0.10526315789473684,128,138
74,25.49019607843137,25.044722719141323,0.1111111111111111,0.1,130,140
75,25.882352941176475,25.402504472271914,0.10526315789473684,0.1,132,142
76,26.47058823529412,25.939177101967797,0.15789473684210525,0.15789473684210525,135,145
77,26.666666666666668,26.118067978533094,0.05,0.05,136,146
