turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.9803921568627451,0.7155635062611807,1.0,0.75,5,4
2,1.7647058823529411,1.4311270125223614,0.8,0.5714285714285714,9,8
3,2.549019607843137,2.146690518783542,0.5714285714285714,0.4444444444444444,13,12
4,2.941176470588235,2.862254025044723,0.25,0.36363636363636365,15,16
5,3.3333333333333335,3.2200357781753133,0.2222222222222222,0.18181818181818182,17,18
6,3.9215686274509802,3.7567084078711988,0.3,0.25,20,21
7,4.117647058823529,3.9355992844364938,0.07692307692307693,0.07142857142857142,21,22
8,4.509803921568627,4.293381037567084,0.16666666666666666,0.125,23,24
9,4.901960784313726,4.651162790697675,0.125,0.13333333333333333,25,26
10,5.294117647058823,5.008944543828265,0.11764705882352941,0.1111111111111111,27,28
11,5.686274509803922,5.366726296958855,0.125,0.09523809523809523,29,30
12,5.88235294117647,5.545617173524151,0.05555555555555555,0.047619047619047616,30,31
13,6.2745098039215685,5.903398926654741,0.1111111111111111,0.09523809523809523,32,33
14,6.470588235294119,6.082289803220036,0.05,0.043478260869565216,33,34
15,6.862745098039216,6.440071556350627,0.08695652173913043,0.09090909090909091,35,36
16,7.450980392156863,6.976744186046512,0.13636363636363635,0.12,38,39
17,8.03921568627451,7.5134168157423975,0.13043478260869565,0.1111111111111111,41,42
18,8.431372549019608,7.8711985688729875,0.08333333333333333,0.07142857142857142,43,44
19,8.627450980392156,8.050089445438283,0.04,0.038461538461538464,44,45
20,9.019607843137255,8.407871198568873,0.07692307692307693,0.08,46,47
21,9.607843137254903,8.94454382826476,0.12,0.10714285714285714,49,50
22,10.0,9.30232558139535,0.08,0.07692307692307693,51,52
23,10.784313725490197,10.01788908765653,0.15384615384615385,0.15384615384615385,55,56
24,10.980392156862745,10.37567084078712,0.038461538461538464,0.06666666666666667,56,58
25,11.568627450980392,10.912343470483005,0.12,0.11538461538461539,59,61
26,11.96078431372549,11.449016100178891,0.07407407407407407,0.10714285714285714,61,64
27,12.156862745098039,11.627906976744185,0.034482758620689655,0.037037037037037035,62,65
28,12.156862745098039,11.627906976744185,0.0,0.0,62,65
29,12.352941176470589,11.985688729874775,0.04,0.07692307692307693,63,67
30,12.745098039215685,12.343470483005367,0.07692307692307693,0.06896551724137931,65,69
31,12.941176470588237,12.522361359570661,0.037037037037037035,0.04,66,70
32,12.941176470588237,12.522361359570661,0.0,0.0,66,70
33,13.333333333333334,12.880143112701253,0.07407407407407407,0.07142857142857142,68,72
34,13.333333333333334,13.059033989266547,0.0,0.04,68,73
35,13.529411764705882,13.237924865831843,0.04,0.037037037037037035,69,74
36,13.725490196078432,13.595706618962433,0.03571428571428571,0.07407407407407407,70,76
37,14.117647058823529,13.953488372093023,0.07692307692307693,0.06896551724137931,72,78
38,14.50980392156863,14.311270125223613,0.07407407407407407,0.07692307692307693,74,80
39,14.705882352941178,14.669051878354203,0.037037037037037035,0.07142857142857142,75,82
40,14.705882352941178,14.847942754919499,0.0,0.03571428571428571,75,83
41,14.705882352941178,14.847942754919499,0.0,0.0,75,83
42,14.901960784313726,15.026833631484795,0.04,0.034482758620689655,76,84
43,15.098039215686274,15.20572450805009,0.03571428571428571,0.038461538461538464,77,85
44,15.490196078431373,15.56350626118068,0.07142857142857142,0.06896551724137931,79,87
45,15.88235294117647,15.92128801431127,0.07692307692307693,0.07407407407407407,81,89
46,16.274509803921568,16.27906976744186,0.07692307692307693,0.07142857142857142,83,91
47,16.470588235294116,16.636851520572453,0.037037037037037035,0.06896551724137931,84,93
48,16.666666666666664,16.815742397137747,0.034482758620689655,0.038461538461538464,85,94
49,16.862745098039216,16.99463327370304,0.037037037037037035,0.03571428571428571,86,95
50,17.254901960784313,17.531305903398927,0.08,0.10714285714285714,88,98
51,17.647058823529413,17.88908765652952,0.07692307692307693,0.06896551724137931,90,100
52,17.84313725490196,18.246869409660107,0.034482758620689655,0.07407407407407407,91,102
53,18.03921568627451,18.425760286225405,0.037037037037037035,0.03333333333333333,92,103
54,18.43137254901961,18.962432915921287,0.07142857142857142,0.10344827586206896,94,106
55,19.019607843137255,19.499105545617173,0.10344827586206896,0.10714285714285714,97,109
56,19.607843137254903,20.03577817531306,0.11538461538461539,0.10714285714285714,100,112
57,20.0,20.39355992844365,0.07142857142857142,0.06896551724137931,102,114
58,20.588235294117645,20.930232558139537,0.10714285714285714,0.10714285714285714,105,117
59,21.176470588235293,21.46690518783542,0.10344827586206896,0.10344827586206896,108,120
60,21.764705882352942,22.003577817531305,0.1,0.10344827586206896,111,123
61,22.15686274509804,22.54025044722719,0.06666666666666667,0.10344827586206896,113,126
62,22.54901960784314,22.898032200357783,0.06666666666666667,0.07407407407407407,115,128
63,23.137254901960784,23.43470483005367,0.10714285714285714,0.10344827586206896,118,131
64,23.72549019607843,23.97137745974955,0.10714285714285714,0.10344827586206896,121,134
65,23.92156862745098,24.329159212880143,0.03333333333333333,0.06666666666666667,122,136
66,24.11764705882353,24.508050089445437,0.034482758620689655,0.03571428571428571,123,137
67,24.509803921568626,24.86583184257603,0.07692307692307693,0.06896551724137931,125,139
68,24.705882352941178,25.044722719141323,0.034482758620689655,0.03333333333333333,126,140
69,24.901960784313726,25.402504472271914,0.037037037037037035,0.06666666666666667,127,142
70,25.294117647058822,25.760286225402506,0.06666666666666667,0.06896551724137931,129,144
71,25.68627450980392,26.29695885509839,0.06896551724137931,0.1,131,147
72,26.078431372549023,26.654740608228984,0.07142857142857142,0.06666666666666667,133,149
73,26.47058823529412,27.01252236135957,0.07142857142857142,0.07692307692307693,135,151
