turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.6,7,6
3,1.7647058823529411,1.6100178890876566,0.3333333333333333,0.5,9,9
4,2.3529411764705883,2.3255813953488373,0.375,0.4444444444444444,12,13
5,2.549019607843137,2.5044722719141324,0.125,0.1,13,14
6,2.7450980392156863,2.6833631484794274,0.09090909090909091,0.07692307692307693,14,15
7,3.3333333333333335,3.2200357781753133,0.2727272727272727,0.25,17,18
8,3.9215686274509802,3.7567084078711988,0.2727272727272727,0.21428571428571427,20,21
9,4.705882352941177,4.47227191413238,0.26666666666666666,0.25,24,25
10,5.490196078431373,5.18783542039356,0.26666666666666666,0.23529411764705882,28,29
11,6.2745098039215685,5.903398926654741,0.23529411764705882,0.21052631578947367,32,33
12,7.254901960784315,6.797853309481217,0.2777777777777778,0.2777777777777778,37,38
13,8.627450980392156,8.050089445438283,0.3333333333333333,0.30434782608695654,44,45
14,10.0,9.481216457960643,0.30434782608695654,0.34782608695652173,51,53
15,11.568627450980392,10.912343470483005,0.3333333333333333,0.3076923076923077,59,61
16,12.745098039215685,12.164579606440071,0.24,0.25,65,68
17,13.92156862745098,13.237924865831843,0.23076923076923078,0.2,71,74
18,15.294117647058824,14.669051878354203,0.2413793103448276,0.25,78,82
19,16.470588235294116,15.92128801431127,0.23076923076923078,0.22580645161290322,84,89
20,17.254901960784313,16.815742397137747,0.13793103448275862,0.15625,88,94
21,18.235294117647058,17.71019677996422,0.17857142857142858,0.15625,93,99
22,19.411764705882355,18.783542039355993,0.1935483870967742,0.17142857142857143,99,105
23,20.0,19.67799642218247,0.1,0.14705882352941177,102,110
24,20.392156862745097,20.214669051878353,0.0625,0.08333333333333333,104,113
25,20.980392156862745,20.75134168157424,0.0967741935483871,0.08823529411764706,107,116
26,21.372549019607842,21.10912343470483,0.06060606060606061,0.05405405405405406,109,118
27,21.96078431372549,21.645796064400717,0.0967741935483871,0.07894736842105263,112,121
28,22.35294117647059,22.003577817531305,0.0625,0.05263157894736842,114,123
29,22.941176470588236,22.54025044722719,0.08823529411764706,0.075,117,126
30,23.52941176470588,23.25581395348837,0.08108108108108109,0.1,120,130
31,24.705882352941178,24.508050089445437,0.17142857142857143,0.16279069767441862,126,137
32,25.882352941176475,25.939177101967797,0.15789473684210525,0.17391304347826086,132,145
33,26.47058823529412,26.833631484794275,0.07317073170731707,0.10869565217391304,135,150
34,27.450980392156865,27.72808586762075,0.12195121951219512,0.09803921568627451,140,155
35,28.627450980392155,28.80143112701252,0.14634146341463414,0.11538461538461539,146,161
36,29.411764705882355,29.5169946332737,0.08695652173913043,0.0784313725490196,150,165
37,30.58823529411765,30.76923076923077,0.13953488372093023,0.1346153846153846,156,172
38,31.176470588235293,31.48479427549195,0.0625,0.07407407407407407,159,176
39,31.76470588235294,32.021466905187836,0.06818181818181818,0.05555555555555555,162,179
40,32.15686274509804,32.379248658318424,0.04,0.03571428571428571,164,181
41,32.549019607843135,32.73703041144901,0.044444444444444446,0.03571428571428571,166,183
42,33.13725490196078,33.273703041144906,0.06521739130434782,0.05,169,186
43,33.72549019607843,33.810375670840784,0.058823529411764705,0.05172413793103448,172,189
44,34.31372549019608,34.34704830053667,0.05357142857142857,0.05084745762711865,175,192
45,34.90196078431372,34.883720930232556,0.058823529411764705,0.05,178,195
46,35.68627450980392,35.59928443649374,0.07407407407407407,0.06451612903225806,182,199
47,36.470588235294116,36.314847942754916,0.07142857142857142,0.0625,186,203
48,36.86274509803922,36.67262969588551,0.03636363636363636,0.03076923076923077,188,205
49,37.254901960784316,37.0304114490161,0.037037037037037035,0.03333333333333333,190,207
50,37.84313725490196,37.567084078711986,0.05555555555555555,0.045454545454545456,193,210
51,38.23529411764706,37.924865831842574,0.03571428571428571,0.03076923076923077,195,212
52,38.82352941176471,38.46153846153847,0.05084745762711865,0.045454545454545456,198,215
53,39.411764705882355,38.998211091234346,0.05263157894736842,0.04477611940298507,201,218
54,39.80392156862745,39.35599284436494,0.034482758620689655,0.029850746268656716,203,220
55,40.3921568627451,39.89266547406082,0.05172413793103448,0.04411764705882353,206,223
56,40.98039215686274,40.608228980322004,0.05263157894736842,0.06060606060606061,209,227
57,41.37254901960784,40.9660107334526,0.03389830508474576,0.028985507246376812,211,229
58,42.15686274509804,41.681574239713775,0.06896551724137931,0.058823529411764705,215,233
59,43.13725490196079,42.57602862254025,0.08771929824561403,0.07352941176470588,220,238
60,43.92156862745098,43.47048300536673,0.06557377049180328,0.07352941176470588,224,243
61,44.31372549019608,43.82826475849731,0.034482758620689655,0.029850746268656716,226,245
62,44.90196078431373,44.364937388193205,0.046875,0.04477611940298507,229,248
63,45.294117647058826,44.72271914132379,0.03125,0.028985507246376812,231,250
64,46.07843137254902,45.61717352415027,0.06896551724137931,0.07692307692307693,235,255
65,46.86274509803921,46.332737030411444,0.06349206349206349,0.05970149253731343,239,259
66,47.45098039215686,46.86940966010734,0.046875,0.046153846153846156,242,262
67,48.23529411764706,47.58497316636851,0.06349206349206349,0.057971014492753624,246,266
68,49.01960784313725,48.658318425760285,0.0625,0.08695652173913043,250,272
69,50.0,49.55277280858677,0.08196721311475409,0.07246376811594203,255,277
70,51.37254901960784,50.80500894454383,0.1076923076923077,0.10144927536231885,262,284
71,52.156862745098046,51.878354203935594,0.06349206349206349,0.09090909090909091,266,290
72,52.94117647058824,52.59391771019678,0.06557377049180328,0.05970149253731343,270,294
73,53.529411764705884,53.13059033989267,0.047619047619047616,0.043478260869565216,273,297
74,54.31372549019608,53.84615384615385,0.06451612903225806,0.06060606060606061,277,301
75,55.294117647058826,54.74060822898033,0.07936507936507936,0.07352941176470588,282,306
76,56.470588235294116,55.81395348837209,0.09523809523809523,0.08955223880597014,288,312
77,57.45098039215686,56.88729874776386,0.07936507936507936,0.08823529411764706,293,318
78,58.62745098039216,57.960644007155636,0.08955223880597014,0.08695652173913043,299,324
79,59.6078431372549,59.0339892665474,0.07692307692307693,0.08695652173913043,304,330
80,60.588235294117645,59.92844364937389,0.078125,0.07352941176470588,309,335
81,61.372549019607845,60.82289803220036,0.06451612903225806,0.07352941176470588,313,340
82,62.15686274509804,61.53846153846154,0.06557377049180328,0.06060606060606061,317,344
83,62.549019607843135,62.07513416815742,0.03125,0.04411764705882353,319,347
84,63.33333333333333,62.7906976744186,0.06349206349206349,0.06153846153846154,323,351
85,64.11764705882354,63.50626118067979,0.06349206349206349,0.058823529411764705,327,355
86,64.50980392156863,64.04293381037567,0.029850746268656716,0.04285714285714286,329,358
87,65.09803921568627,64.57960644007156,0.046875,0.04477611940298507,332,361
88,65.88235294117646,65.29516994633273,0.06557377049180328,0.06153846153846154,336,365
89,66.47058823529412,66.01073345259391,0.047619047619047616,0.058823529411764705,339,369
90,67.05882352941175,66.54740608228981,0.046875,0.04411764705882353,342,372
91,67.25490196078432,67.08407871198568,0.015625,0.04411764705882353,343,375
92,67.45098039215686,67.26296958855099,0.015873015873015872,0.014925373134328358,344,376
93,68.03921568627452,67.79964221824687,0.047619047619047616,0.04411764705882353,347,379
94,68.23529411764706,68.15742397137747,0.015384615384615385,0.029850746268656716,348,381
95,68.62745098039215,68.51520572450805,0.03076923076923077,0.029850746268656716,350,383
96,68.82352941176471,68.87298747763863,0.015384615384615385,0.030303030303030304,351,385
97,69.01960784313725,69.05187835420394,0.01639344262295082,0.014705882352941176,352,386
98,69.2156862745098,69.23076923076923,0.015151515151515152,0.014492753623188406,353,387
99,69.6078431372549,69.58855098389982,0.03125,0.03076923076923077,355,389
100,70.0,69.94633273703042,0.031746031746031744,0.029411764705882353,357,391
101,70.19607843137254,70.12522361359571,0.015873015873015872,0.015151515151515152,358,392
102,70.58823529411765,70.48300536672629,0.029850746268656716,0.03076923076923077,360,394
103,71.17647058823529,71.01967799642217,0.04838709677419355,0.043478260869565216,363,397
104,71.76470588235294,71.55635062611807,0.047619047619047616,0.04411764705882353,366,400
105,72.35294117647058,72.09302325581395,0.045454545454545456,0.04411764705882353,369,403
106,72.94117647058823,72.62969588550983,0.04477611940298507,0.04411764705882353,372,406
107,73.13725490196077,73.16636851520573,0.015151515151515152,0.045454545454545456,373,409
108,73.52941176470588,73.52415026833631,0.029850746268656716,0.029850746268656716,375,411
109,73.72549019607844,73.70304114490162,0.014285714285714285,0.014492753623188406,376,412
110,73.92156862745098,73.8819320214669,0.015873015873015872,0.014705882352941176,377,413
111,73.92156862745098,73.8819320214669,0.0,0.0,377,413
112,73.92156862745098,73.8819320214669,0.0,0.0,377,413
113,74.50980392156863,74.4186046511628,0.04411764705882353,0.04477611940298507,380,416
114,74.90196078431373,74.77638640429338,0.03076923076923077,0.030303030303030304,382,418
115,75.29411764705883,75.13416815742397,0.029411764705882353,0.029411764705882353,384,420
116,75.49019607843137,75.31305903398928,0.015625,0.015151515151515152,385,421
117,75.88235294117646,75.67084078711986,0.030303030303030304,0.030303030303030304,387,423
118,76.27450980392156,76.02862254025044,0.03076923076923077,0.029850746268656716,389,425
119,77.05882352941177,76.74418604651163,0.06153846153846154,0.06153846153846154,393,429
120,77.64705882352942,77.28085867620752,0.04411764705882353,0.04411764705882353,396,432
121,78.03921568627452,77.99642218246869,0.029850746268656716,0.057971014492753624,398,436
122,78.43137254901961,78.35420393559929,0.03125,0.029411764705882353,400,438
123,78.82352941176471,78.71198568872988,0.03076923076923077,0.030303030303030304,402,440
124,79.2156862745098,79.24865831842575,0.03076923076923077,0.046153846153846156,404,443
125,79.80392156862746,79.78533094812164,0.04411764705882353,0.04477611940298507,407,446
126,80.0,79.96422182468694,0.015151515151515152,0.014925373134328358,408,447
127,80.0,79.96422182468694,0.0,0.0,408,447
128,80.7843137254902,80.67978533094812,0.06060606060606061,0.05970149253731343,412,451
