turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.1764705882352942,0.8944543828264758,0.6666666666666666,0.4,6,5
3,1.3725490196078431,1.073345259391771,0.25,0.16666666666666666,7,6
4,1.7647058823529411,1.4311270125223614,0.4,0.25,9,8
5,1.9607843137254901,1.6100178890876566,0.2,0.1111111111111111,10,9
6,2.156862745098039,1.7889087656529516,0.16666666666666666,0.1111111111111111,11,10
7,2.7450980392156863,2.3255813953488373,0.375,0.25,14,13
8,3.3333333333333335,2.862254025044723,0.3333333333333333,0.25,17,16
9,3.7254901960784315,3.2200357781753133,0.2,0.13333333333333333,19,18
10,4.313725490196078,3.7567084078711988,0.25,0.2,22,21
11,4.901960784313726,4.293381037567084,0.23076923076923078,0.16666666666666666,25,24
12,5.294117647058823,4.83005366726297,0.14285714285714285,0.16666666666666666,27,27
13,5.490196078431373,5.008944543828265,0.07692307692307693,0.047619047619047616,28,28
14,5.88235294117647,5.545617173524151,0.14285714285714285,0.14285714285714285,30,31
15,6.2745098039215685,5.903398926654741,0.14285714285714285,0.08695652173913043,32,33
16,6.470588235294119,6.082289803220036,0.06666666666666667,0.043478260869565216,33,34
17,6.862745098039216,6.440071556350627,0.14285714285714285,0.08,35,36
18,7.0588235294117645,6.618962432915922,0.07142857142857142,0.04,36,37
19,7.254901960784315,6.797853309481217,0.06666666666666667,0.038461538461538464,37,38
20,7.450980392156863,6.976744186046512,0.07142857142857142,0.038461538461538464,38,39
21,7.647058823529412,7.155635062611807,0.06666666666666667,0.037037037037037035,39,40
22,8.03921568627451,7.5134168157423975,0.13333333333333333,0.07407407407407407,41,42
23,8.431372549019608,7.8711985688729875,0.125,0.07142857142857142,43,44
24,8.823529411764707,8.228980322003578,0.125,0.06896551724137931,45,46
25,9.215686274509805,8.586762075134168,0.11764705882352941,0.06666666666666667,47,48
26,9.607843137254903,8.94454382826476,0.11764705882352941,0.06451612903225806,49,50
27,10.0,9.30232558139535,0.1111111111111111,0.06451612903225806,51,52
28,10.392156862745098,9.66010733452594,0.1111111111111111,0.0625,53,54
29,10.588235294117647,10.01788908765653,0.05263157894736842,0.0625,54,56
30,10.588235294117647,10.196779964221825,0.0,0.030303030303030304,54,57
31,10.784313725490197,10.37567084078712,0.05263157894736842,0.030303030303030304,55,58
32,11.176470588235295,10.73345259391771,0.10526315789473684,0.058823529411764705,57,60
33,11.176470588235295,11.091234347048301,0.0,0.058823529411764705,57,62
34,11.372549019607844,11.270125223613595,0.05263157894736842,0.02857142857142857,58,63
35,11.96078431372549,11.806797853309481,0.13636363636363635,0.08571428571428572,61,66
36,12.549019607843137,12.343470483005367,0.13636363636363635,0.08333333333333333,64,69
37,12.941176470588237,12.880143112701253,0.09523809523809523,0.08333333333333333,66,72
38,12.941176470588237,13.059033989266547,0.0,0.02702702702702703,66,73
39,12.941176470588237,13.237924865831843,0.0,0.02702702702702703,66,74
40,13.137254901960786,13.416815742397137,0.045454545454545456,0.02564102564102564,67,75
41,13.137254901960786,13.595706618962433,0.0,0.02564102564102564,67,76
42,13.333333333333334,13.774597495527727,0.045454545454545456,0.02564102564102564,68,77
43,13.529411764705882,13.953488372093023,0.041666666666666664,0.02564102564102564,69,78
44,13.725490196078432,14.132379248658319,0.041666666666666664,0.025,70,79
45,13.92156862745098,14.311270125223613,0.043478260869565216,0.025,71,80
46,14.117647058823529,14.490161001788909,0.043478260869565216,0.024390243902439025,72,81
47,14.313725490196077,14.669051878354203,0.041666666666666664,0.024390243902439025,73,82
48,14.313725490196077,14.669051878354203,0.0,0.0,73,82
49,14.50980392156863,15.026833631484795,0.038461538461538464,0.047619047619047616,74,84
50,14.50980392156863,15.026833631484795,0.0,0.0,74,84
51,14.901960784313726,15.384615384615385,0.08,0.047619047619047616,76,86
52,15.294117647058824,15.92128801431127,0.08,0.06976744186046512,78,89
53,15.686274509803921,16.27906976744186,0.07692307692307693,0.047619047619047616,80,91
54,16.07843137254902,16.636851520572453,0.07692307692307693,0.045454545454545456,82,93
55,16.470588235294116,16.99463327370304,0.07692307692307693,0.045454545454545456,84,95
56,16.666666666666664,17.352415026833633,0.037037037037037035,0.045454545454545456,85,97
57,16.862745098039216,17.531305903398927,0.037037037037037035,0.023255813953488372,86,98
58,17.058823529411764,17.71019677996422,0.03571428571428571,0.022222222222222223,87,99
59,17.254901960784313,18.067978533094813,0.03571428571428571,0.043478260869565216,88,101
60,17.45098039215686,18.246869409660107,0.03571428571428571,0.02127659574468085,89,102
61,17.647058823529413,18.425760286225405,0.03571428571428571,0.02127659574468085,90,103
62,17.84313725490196,18.6046511627907,0.038461538461538464,0.021739130434782608,91,104
63,17.84313725490196,18.783542039355993,0.0,0.021739130434782608,91,105
64,18.03921568627451,18.962432915921287,0.034482758620689655,0.021739130434782608,92,106
65,18.43137254901961,19.32021466905188,0.07142857142857142,0.041666666666666664,94,108
66,18.627450980392158,19.499105545617173,0.03571428571428571,0.020833333333333332,95,109
67,18.823529411764707,19.67799642218247,0.034482758620689655,0.021739130434782608,96,110
68,19.215686274509807,20.03577817531306,0.06666666666666667,0.041666666666666664,98,112
69,19.607843137254903,20.39355992844365,0.06896551724137931,0.041666666666666664,100,114
70,19.607843137254903,20.39355992844365,0.0,0.0,100,114
71,20.0,20.75134168157424,0.06666666666666667,0.041666666666666664,102,116
72,20.392156862745097,21.10912343470483,0.06666666666666667,0.0392156862745098,104,118
73,20.784313725490197,21.46690518783542,0.07142857142857142,0.0392156862745098,106,120
74,21.176470588235293,21.82468694096601,0.06666666666666667,0.0392156862745098,108,122
75,21.568627450980394,22.182468694096602,0.06896551724137931,0.04,110,124
76,21.96078431372549,22.54025044722719,0.07142857142857142,0.04,112,126
77,22.15686274509804,22.719141323792485,0.03225806451612903,0.02,113,127
78,22.15686274509804,22.719141323792485,0.0,0.0,113,127
79,22.35294117647059,22.898032200357783,0.03225806451612903,0.02,114,128
80,22.745098039215687,23.25581395348837,0.06451612903225806,0.0392156862745098,116,130
81,22.941176470588236,23.43470483005367,0.03225806451612903,0.02,117,131
82,23.333333333333332,23.792486583184257,0.0625,0.0392156862745098,119,133
83,23.72549019607843,24.15026833631485,0.0625,0.0392156862745098,121,135
84,24.11764705882353,24.508050089445437,0.0625,0.0392156862745098,123,137
85,24.705882352941178,25.044722719141323,0.0967741935483871,0.057692307692307696,126,140
86,25.098039215686274,25.402504472271914,0.0625,0.03773584905660377,128,142
87,25.49019607843137,25.760286225402506,0.0625,0.03773584905660377,130,144
88,26.078431372549023,26.29695885509839,0.09090909090909091,0.05660377358490566,133,147
89,26.666666666666668,26.833631484794275,0.09090909090909091,0.057692307692307696,136,150
90,26.862745098039216,27.191413237924866,0.030303030303030304,0.03636363636363636,137,152
91,27.450980392156865,27.72808586762075,0.08823529411764706,0.05660377358490566,140,155
92,27.84313725490196,28.264758497316638,0.058823529411764705,0.05454545454545454,142,158
93,28.235294117647058,28.622540250447226,0.06060606060606061,0.03571428571428571,144,160
94,28.627450980392155,28.980322003577818,0.06060606060606061,0.034482758620689655,146,162
95,29.01960784313726,29.5169946332737,0.058823529411764705,0.05454545454545454,148,165
96,29.215686274509807,29.695885509838998,0.030303030303030304,0.017857142857142856,149,166
97,29.80392156862745,30.23255813953488,0.08571428571428572,0.05357142857142857,152,169
98,30.392156862745097,30.76923076923077,0.08571428571428572,0.05454545454545454,155,172
99,31.176470588235293,31.48479427549195,0.11764705882352941,0.06896551724137931,159,176
100,31.372549019607842,31.663685152057248,0.029411764705882353,0.017857142857142856,160,177
101,31.76470588235294,32.021466905187836,0.06060606060606061,0.03571428571428571,162,179
102,32.15686274509804,32.379248658318424,0.06060606060606061,0.03636363636363636,164,181
103,32.549019607843135,32.73703041144901,0.05714285714285714,0.03636363636363636,166,183
104,32.94117647058823,33.09481216457961,0.05555555555555555,0.03636363636363636,168,185
105,33.33333333333333,33.452593917710196,0.05714285714285714,0.03571428571428571,170,187
106,33.72549019607843,33.810375670840784,0.05555555555555555,0.03571428571428571,172,189
107,34.31372549019608,34.34704830053667,0.08333333333333333,0.05357142857142857,175,192
108,35.09803921568627,35.062611806797854,0.1111111111111111,0.07017543859649122,179,196
109,35.68627450980392,35.59928443649374,0.08571428571428572,0.05263157894736842,182,199
110,35.88235294117647,35.77817531305904,0.027777777777777776,0.017241379310344827,183,200
111,36.666666666666664,36.493738819320214,0.10810810810810811,0.07142857142857142,187,204
112,37.05882352941177,36.85152057245081,0.05263157894736842,0.034482758620689655,189,206
113,37.450980392156865,37.2093023255814,0.05263157894736842,0.034482758620689655,191,208
114,38.03921568627451,37.745974955277276,0.08108108108108109,0.05,194,211
115,38.43137254901961,38.10375670840787,0.05128205128205128,0.034482758620689655,196,213
116,39.01960784313726,38.64042933810376,0.07692307692307693,0.05084745762711865,199,216
117,39.411764705882355,38.998211091234346,0.05128205128205128,0.03389830508474576,201,218
118,39.6078431372549,39.17710196779964,0.02564102564102564,0.016666666666666666,202,219
119,39.80392156862745,39.53488372093023,0.02857142857142857,0.03225806451612903,203,221
120,40.0,39.71377459749553,0.02702702702702703,0.016666666666666666,204,222
121,40.588235294117645,40.250447227191415,0.07894736842105263,0.05,207,225
122,40.98039215686274,40.608228980322004,0.05128205128205128,0.03278688524590164,209,227
123,41.17647058823529,40.7871198568873,0.02631578947368421,0.016666666666666666,210,228
124,41.568627450980394,41.14490161001789,0.05128205128205128,0.03333333333333333,212,230
125,41.76470588235294,41.32379248658318,0.025,0.017241379310344827,213,231
126,41.96078431372549,41.50268336314848,0.025,0.016666666666666666,214,232
127,42.35294117647059,41.86046511627907,0.05,0.03333333333333333,216,234
128,42.94117647058823,42.39713774597496,0.07317073170731707,0.04838709677419355,219,237
129,43.333333333333336,42.75491949910555,0.05,0.03333333333333333,221,239
