turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.7647058823529411,1.4311270125223614,0.8333333333333334,0.625,9,8
3,3.1372549019607843,2.6833631484794274,0.7,0.4666666666666667,16,15
4,4.901960784313726,4.293381037567084,0.6,0.391304347826087,25,24
5,5.88235294117647,5.366726296958855,0.3333333333333333,0.25,30,30
6,6.862745098039216,6.261180679785331,0.25,0.16666666666666666,35,35
7,7.8431372549019605,7.334525939177102,0.25,0.17647058823529413,40,41
8,8.431372549019608,8.050089445438283,0.13043478260869565,0.11428571428571428,43,45
9,9.215686274509805,8.765652951699463,0.16666666666666666,0.10256410256410256,47,49
10,9.803921568627452,9.30232558139535,0.11538461538461539,0.075,50,52
11,10.196078431372548,9.66010733452594,0.08,0.045454545454545456,52,54
12,10.980392156862745,10.37567084078712,0.13333333333333333,0.08888888888888889,56,58
13,11.176470588235295,10.554561717352415,0.038461538461538464,0.020833333333333332,57,59
14,11.372549019607844,10.73345259391771,0.03333333333333333,0.020833333333333332,58,60
15,11.568627450980392,10.912343470483005,0.037037037037037035,0.0196078431372549,59,61
16,11.76470588235294,11.091234347048301,0.03225806451612903,0.0196078431372549,60,62
17,11.96078431372549,11.270125223613595,0.03571428571428571,0.019230769230769232,61,63
18,12.156862745098039,11.449016100178891,0.03125,0.018867924528301886,62,64
19,12.156862745098039,11.449016100178891,0.0,0.0,62,64
20,12.156862745098039,11.449016100178891,0.0,0.0,62,64
21,12.156862745098039,11.449016100178891,0.0,0.0,62,64
22,12.352941176470589,11.627906976744185,0.030303030303030304,0.017857142857142856,63,65
23,12.745098039215685,11.985688729874775,0.06896551724137931,0.03571428571428571,65,67
24,13.333333333333334,12.522361359570661,0.08823529411764706,0.05357142857142857,68,70
25,14.117647058823529,13.237924865831843,0.13333333333333333,0.07142857142857142,72,74
26,14.901960784313726,13.953488372093023,0.11428571428571428,0.07142857142857142,76,78
27,15.098039215686274,14.311270125223613,0.034482758620689655,0.03571428571428571,77,80
28,15.294117647058824,14.490161001788909,0.029411764705882353,0.017857142857142856,78,81
29,15.490196078431373,14.847942754919499,0.034482758620689655,0.03571428571428571,79,83
30,15.88235294117647,15.20572450805009,0.05714285714285714,0.03571428571428571,81,85
31,16.07843137254902,15.384615384615385,0.03225806451612903,0.017857142857142856,82,86
32,16.274509803921568,15.56350626118068,0.027777777777777776,0.017543859649122806,83,87
33,16.470588235294116,15.742397137745975,0.03333333333333333,0.017543859649122806,84,88
34,16.666666666666664,15.92128801431127,0.030303030303030304,0.017543859649122806,85,89
35,16.862745098039216,16.100178890876567,0.03333333333333333,0.017543859649122806,86,90
36,17.058823529411764,16.27906976744186,0.030303030303030304,0.017543859649122806,87,91
37,17.254901960784313,16.457960644007155,0.03333333333333333,0.017543859649122806,88,92
38,17.45098039215686,16.636851520572453,0.02857142857142857,0.017543859649122806,89,93
39,17.45098039215686,16.636851520572453,0.0,0.0,89,93
40,17.647058823529413,16.815742397137747,0.030303030303030304,0.017543859649122806,90,94
41,17.84313725490196,16.99463327370304,0.03333333333333333,0.017543859649122806,91,95
42,18.03921568627451,17.173524150268335,0.02857142857142857,0.017543859649122806,92,96
43,18.235294117647058,17.352415026833633,0.03333333333333333,0.017543859649122806,93,97
44,18.43137254901961,17.531305903398927,0.029411764705882353,0.017543859649122806,94,98
45,18.627450980392158,17.71019677996422,0.03333333333333333,0.017543859649122806,95,99
46,18.823529411764707,17.88908765652952,0.029411764705882353,0.017543859649122806,96,100
47,19.019607843137255,18.067978533094813,0.034482758620689655,0.017543859649122806,97,101
48,19.215686274509807,18.246869409660107,0.02857142857142857,0.017543859649122806,98,102
49,19.215686274509807,18.246869409660107,0.0,0.0,98,102
50,19.411764705882355,18.425760286225405,0.02857142857142857,0.017543859649122806,99,103
51,19.411764705882355,18.425760286225405,0.0,0.0,99,103
52,19.411764705882355,18.425760286225405,0.0,0.0,99,103
53,19.607843137254903,18.6046511627907,0.03333333333333333,0.017543859649122806,100,104
54,19.80392156862745,18.783542039355993,0.02857142857142857,0.017543859649122806,101,105
55,20.0,18.962432915921287,0.03571428571428571,0.017543859649122806,102,106
56,20.19607843137255,19.141323792486585,0.02857142857142857,0.017543859649122806,103,107
57,20.392156862745097,19.32021466905188,0.03333333333333333,0.017543859649122806,104,108
58,20.588235294117645,19.499105545617173,0.030303030303030304,0.017543859649122806,105,109
59,20.980392156862745,19.856887298747765,0.06666666666666667,0.03508771929824561,107,111
60,21.372549019607842,20.214669051878353,0.058823529411764705,0.03508771929824561,109,113
61,21.764705882352942,20.572450805008945,0.06666666666666667,0.03508771929824561,111,115
62,22.15686274509804,20.930232558139537,0.05714285714285714,0.03508771929824561,113,117
63,22.35294117647059,21.10912343470483,0.034482758620689655,0.017543859649122806,114,118
64,22.745098039215687,21.46690518783542,0.058823529411764705,0.03508771929824561,116,120
65,22.941176470588236,21.645796064400717,0.03333333333333333,0.017543859649122806,117,121
66,23.137254901960784,21.82468694096601,0.029411764705882353,0.017543859649122806,118,122
67,23.333333333333332,22.003577817531305,0.03333333333333333,0.017543859649122806,119,123
68,23.72549019607843,22.361359570661897,0.058823529411764705,0.03508771929824561,121,125
69,23.92156862745098,22.719141323792485,0.034482758620689655,0.03508771929824561,122,127
70,24.11764705882353,22.898032200357783,0.02857142857142857,0.017543859649122806,123,128
71,24.313725490196077,23.076923076923077,0.034482758620689655,0.017543859649122806,124,129
72,24.509803921568626,23.25581395348837,0.02857142857142857,0.017543859649122806,125,130
73,24.901960784313726,23.613595706618963,0.06666666666666667,0.03508771929824561,127,132
74,25.098039215686274,23.792486583184257,0.029411764705882353,0.017543859649122806,128,133
75,25.49019607843137,24.15026833631485,0.06666666666666667,0.03508771929824561,130,135
76,25.49019607843137,24.15026833631485,0.0,0.0,130,135
77,25.68627450980392,24.329159212880143,0.034482758620689655,0.017543859649122806,131,136
78,26.078431372549023,24.686940966010734,0.05714285714285714,0.03508771929824561,133,138
79,26.47058823529412,25.044722719141323,0.06896551724137931,0.03508771929824561,135,140
80,26.862745098039216,25.402504472271914,0.058823529411764705,0.03508771929824561,137,142
81,26.862745098039216,25.402504472271914,0.0,0.0,137,142
82,27.058823529411764,25.581395348837212,0.02857142857142857,0.017543859649122806,138,143
83,27.450980392156865,25.939177101967797,0.06666666666666667,0.03508771929824561,140,145
84,27.84313725490196,26.29695885509839,0.058823529411764705,0.03508771929824561,142,147
85,28.235294117647058,26.654740608228984,0.06666666666666667,0.03508771929824561,144,149
86,28.431372549019606,26.833631484794275,0.029411764705882353,0.017543859649122806,145,150
87,28.627450980392155,27.01252236135957,0.034482758620689655,0.017543859649122806,146,151
88,28.627450980392155,27.191413237924866,0.0,0.017543859649122806,146,152
89,28.627450980392155,27.191413237924866,0.0,0.0,146,152
90,28.627450980392155,27.191413237924866,0.0,0.0,146,152
91,28.823529411764703,27.370304114490164,0.03333333333333333,0.017543859649122806,147,153
92,29.01960784313726,27.549194991055455,0.029411764705882353,0.017543859649122806,148,154
93,29.215686274509807,27.72808586762075,0.034482758620689655,0.017543859649122806,149,155
94,29.411764705882355,27.906976744186046,0.02857142857142857,0.017543859649122806,150,156
95,29.80392156862745,28.264758497316638,0.06896551724137931,0.03508771929824561,152,158
96,30.0,28.44364937388193,0.02857142857142857,0.017543859649122806,153,159
97,30.19607843137255,28.622540250447226,0.03333333333333333,0.017543859649122806,154,160
98,30.392156862745097,28.80143112701252,0.02857142857142857,0.017543859649122806,155,161
99,30.392156862745097,28.980322003577818,0.0,0.017543859649122806,155,162
