turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.39215686274509803,0.35778175313059035,1.0,1.0,2,2
2,0.5882352941176471,0.5366726296958855,1.0,1.0,3,3
3,0.7843137254901961,0.7155635062611807,1.0,1.0,4,4
4,0.9803921568627451,0.8944543828264758,1.0,1.0,5,5
5,0.9803921568627451,0.8944543828264758,0.0,0.0,5,5
6,1.1764705882352942,1.073345259391771,1.0,1.0,6,6
7,1.3725490196078431,1.2522361359570662,1.0,1.0,7,7
8,1.3725490196078431,1.2522361359570662,0.0,0.0,7,7
9,1.5686274509803921,1.4311270125223614,1.0,1.0,8,8
10,1.7647058823529411,1.6100178890876566,1.0,1.0,9,9
11,1.9607843137254901,1.7889087656529516,1.0,1.0,10,10
12,2.156862745098039,1.9677996422182469,1.0,1.0,11,11
13,2.3529411764705883,2.146690518783542,1.0,1.0,12,12
14,2.549019607843137,2.3255813953488373,1.0,1.0,13,13
15,2.549019607843137,2.3255813953488373,0.0,0.0,13,13
16,2.549019607843137,2.3255813953488373,0.0,0.0,13,13
17,2.549019607843137,2.3255813953488373,0.0,0.0,13,13
18,2.7450980392156863,2.5044722719141324,1.0,1.0,14,14
19,2.941176470588235,2.6833631484794274,1.0,1.0,15,15
20,3.1372549019607843,2.862254025044723,1.0,1.0,16,16
21,3.3333333333333335,3.041144901610018,1.0,1.0,17,17
22,3.5294117647058822,3.2200357781753133,1.0,1.0,18,18
23,3.7254901960784315,3.3989266547406083,1.0,1.0,19,19
24,3.9215686274509802,3.5778175313059033,1.0,1.0,20,20
25,4.117647058823529,3.7567084078711988,1.0,1.0,21,21
26,4.313725490196078,3.9355992844364938,1.0,1.0,22,22
27,4.509803921568627,4.114490161001789,1.0,1.0,23,23
28,4.509803921568627,4.114490161001789,0.0,0.0,23,23
29,4.705882352941177,4.293381037567084,1.0,1.0,24,24
30,4.901960784313726,4.47227191413238,1.0,1.0,25,25
31,5.098039215686274,4.651162790697675,1.0,1.0,26,26
32,5.294117647058823,4.83005366726297,1.0,1.0,27,27
33,5.490196078431373,5.008944543828265,1.0,1.0,28,28
34,5.686274509803922,5.18783542039356,1.0,1.0,29,29
35,5.88235294117647,5.366726296958855,1.0,1.0,30,30
36,6.078431372549019,5.545617173524151,1.0,1.0,31,31
37,6.2745098039215685,5.724508050089446,1.0,1.0,32,32
38,6.2745098039215685,5.724508050089446,0.0,0.0,32,32
39,6.470588235294119,5.903398926654741,1.0,1.0,33,33
40,6.666666666666667,6.082289803220036,1.0,1.0,34,34
41,6.862745098039216,6.261180679785331,1.0,1.0,35,35
42,7.0588235294117645,6.440071556350627,1.0,1.0,36,36
43,7.254901960784315,6.618962432915922,1.0,1.0,37,37
44,7.450980392156863,6.797853309481217,1.0,1.0,38,38
45,7.647058823529412,6.976744186046512,1.0,1.0,39,39
46,7.8431372549019605,7.155635062611807,1.0,1.0,40,40
47,8.03921568627451,7.334525939177102,1.0,1.0,41,41
48,8.03921568627451,7.334525939177102,0.0,0.0,41,41
49,8.235294117647058,7.5134168157423975,1.0,1.0,42,42
50,8.235294117647058,7.5134168157423975,0.0,0.0,42,42
51,8.235294117647058,7.5134168157423975,0.0,0.0,42,42
52,8.431372549019608,7.6923076923076925,1.0,1.0,43,43
53,8.627450980392156,7.8711985688729875,1.0,1.0,44,44
54,8.823529411764707,8.050089445438283,1.0,1.0,45,45
55,9.019607843137255,8.228980322003578,1.0,1.0,46,46
56,9.215686274509805,8.407871198568873,1.0,1.0,47,47
57,9.411764705882353,8.586762075134168,1.0,1.0,48,48
58,9.607843137254903,8.765652951699463,1.0,1.0,49,49
59,9.803921568627452,8.94454382826476,1.0,1.0,50,50
60,10.0,9.123434704830053,1.0,1.0,51,51
61,10.196078431372548,9.30232558139535,1.0,1.0,52,52
62,10.392156862745098,9.481216457960643,1.0,1.0,53,53
63,10.588235294117647,9.66010733452594,1.0,1.0,54,54
64,10.784313725490197,9.838998211091235,1.0,1.0,55,55
65,10.980392156862745,10.01788908765653,1.0,1.0,56,56
66,11.176470588235295,10.196779964221825,1.0,1.0,57,57
67,11.372549019607844,10.37567084078712,1.0,1.0,58,58
68,11.372549019607844,10.554561717352415,0.0,1.0,58,59
69,11.372549019607844,10.554561717352415,0.0,0.0,58,59
70,11.568627450980392,10.73345259391771,1.0,1.0,59,60
71,11.568627450980392,10.73345259391771,0.0,0.0,59,60
72,11.76470588235294,10.912343470483005,1.0,1.0,60,61
